year,month,product,rainfall_mm,temperature_c,soil_quality,fertilizer_kg,irrigation,yield_kg_per_ha
2023,1,Tomato,120,26,good,45,1,42000
2023,1,Carrot,110,24,good,50,1,36000
2023,1,Potato,130,22,excellent,55,1,32000
2023,1,Onion,100,25,good,40,1,26000
2023,1,Cabbage,140,23,good,48,1,29000
2023,2,Tomato,150,27,excellent,50,1,45000
2023,2,Carrot,130,25,good,52,1,38000
2023,2,Potato,120,23,good,50,1,31000
2023,2,Onion,110,26,average,42,1,24000
2023,2,Cabbage,160,24,excellent,50,1,31000
2023,3,Tomato,180,28,good,48,1,41000
2023,3,Carrot,170,26,good,50,1,37000
2023,3,Potato,140,24,good,52,1,30000
2023,3,Onion,130,27,good,45,1,25000
2023,3,Cabbage,190,25,good,49,1,28000
2023,4,Tomato,200,29,average,45,1,38000
2023,4,Carrot,190,27,good,48,1,35000
2023,4,Potato,160,25,average,50,1,28000
2023,4,Onion,150,28,good,43,1,24000
2023,4,Cabbage,210,26,good,47,1,27000
2023,5,Tomato,220,30,good,50,1,40000
2023,5,Carrot,200,28,good,51,1,36000
2023,5,Potato,180,26,good,53,1,29000
2023,5,Onion,170,29,good,44,1,25000
2023,5,Cabbage,230,27,good,48,1,28500
2023,6,Tomato,250,31,average,46,1,37000
2023,6,Carrot,240,29,good,49,1,34000
2023,6,Potato,200,27,average,51,1,27000
2023,6,Onion,190,30,average,42,1,23000
2023,6,Cabbage,260,28,good,46,1,26500
2023,7,Tomato,240,30,good,48,1,39000
2023,7,Carrot,230,28,good,50,1,35000
2023,7,Potato,190,26,good,52,1,28500
2023,7,Onion,180,29,good,43,1,24500
2023,7,Cabbage,250,27,good,47,1,27500
2023,8,Tomato,130,27,excellent,52,1,44000
2023,8,Carrot,120,25,excellent,54,1,39000
2023,8,Potato,110,23,excellent,56,1,33000
2023,8,Onion,100,26,good,46,1,27000
2023,8,Cabbage,140,24,excellent,51,1,30000
2023,9,Tomato,150,28,good,50,1,42000
2023,9,Carrot,140,26,good,52,1,37000
2023,9,Potato,130,24,good,54,1,31000
2023,9,Onion,120,27,good,45,1,26000
2023,9,Cabbage,160,25,good,50,1,29000
2023,10,Tomato,170,27,good,49,1,41000
2023,10,Carrot,160,25,good,51,1,36000
2023,10,Potato,150,23,good,53,1,30000
2023,10,Onion,140,26,good,44,1,25500
2023,10,Cabbage,180,24,good,49,1,28500
2023,11,Tomato,140,26,excellent,51,1,43000
2023,11,Carrot,130,24,excellent,53,1,38000
2023,11,Potato,120,22,excellent,55,1,32000
2023,11,Onion,110,25,good,45,1,26500
2023,11,Cabbage,150,23,excellent,50,1,29500
2023,12,Tomato,160,27,good,50,1,42000
2023,12,Carrot,150,25,good,52,1,37000
2023,12,Potato,140,23,good,54,1,31000
2023,12,Onion,130,26,good,46,1,26000
2023,12,Cabbage,170,24,good,51,1,29000
2024,1,Tomato,125,26,good,46,1,41500
2024,1,Carrot,115,24,good,51,1,35500
2024,1,Potato,135,22,excellent,56,1,31500
2024,1,Onion,105,25,good,41,1,25500
2024,1,Cabbage,145,23,good,49,1,28500
2024,2,Tomato,155,27,excellent,51,1,44500
2024,2,Carrot,135,25,good,53,1,37500
2024,2,Potato,125,23,good,51,1,30500
2024,2,Onion,115,26,average,43,1,23500
2024,2,Cabbage,165,24,excellent,51,1,30500
2024,3,Tomato,185,28,good,49,1,40500
2024,3,Carrot,175,26,good,51,1,36500
2024,3,Potato,145,24,good,53,1,29500
2024,3,Onion,135,27,good,46,1,24500
2024,3,Cabbage,195,25,good,50,1,27500
2024,4,Tomato,205,29,average,46,1,37500
2024,4,Carrot,195,27,good,49,1,34500
2024,4,Potato,165,25,average,51,1,27500
2024,4,Onion,155,28,good,44,1,23500
2024,4,Cabbage,215,26,good,48,1,26500
2024,5,Tomato,225,30,good,51,1,39500
2024,5,Carrot,205,28,good,52,1,35500
2024,5,Potato,185,26,good,54,1,28500
2024,5,Onion,175,29,good,45,1,24500
2024,5,Cabbage,235,27,good,49,1,28000
2024,6,Tomato,255,31,average,47,1,36500
2024,6,Carrot,245,29,good,50,1,33500
2024,6,Potato,205,27,average,52,1,26500
2024,6,Onion,195,30,average,43,1,22500
2024,6,Cabbage,265,28,good,47,1,26000
